practiceIndex,scrumElement,scrumRule,scrumPractice
1.01,Product Owner,The Product Owner is responsible for maximizing the value of the product and the work of the Development Team.,"Responsible for the Product Backlog, including its content, availability, and ordering"
1.03,Product Owner,The Product Owner is responsible for maximizing the value of the product and the work of the Development Team.,Representing the desires of stakeholders in the Product Backlog (managing expectations upwards)
1.04,Product Owner,The Product Owner is responsible for maximizing the value of the product and the work of the Development Team.,Ensuring the Development Team understands items in the Product Backlog to the level needed (managing expectations downwards)
1.02,Product Owner,The Product Owner is responsible for maximizing the value of the product and the work of the Development Team.,Updating Product Backlog items at any time by his own discretion. For this PO can use different prioritization techniques
1.08,Product Owner,The Product Owner is the sole person responsible for managing the Product Backlog.,"The Product Owner is responsible for the Product Backlog, including its content, availability, and ordering the items to best achieve goals and missions"
1.09,Product Owner,The Product Owner is the sole person responsible for managing the Product Backlog.,Optimizing the value of the work the Development Team performs
1.1,Product Owner,The Product Owner is the sole person responsible for managing the Product Backlog.,"Ensuring that the Product Backlog is visible, transparent, and clear to all, and shows what the Scrum Team will work on next"
1.11,Product Owner,"For the Product Owner to succeed, the entire organization must respect his or her decisions.",The Product Owner's decisions are visible in the content and ordering of the Product Backlog
1.07,Product Owner,The Product Owner is the sole person responsible for managing the Product Backlog.,Clearly expressing Product Backlog items;
1.12,Product Owner,"For the Product Owner to succeed, the entire organization must respect his or her decisions.",Ensuring that no one is telling the Development Team to work from a different set of requirements
1.13,Product Owner,"For the Product Owner to succeed, the entire organization must respect his or her decisions.",Assessing progress toward completing projected work by the desired time for the goal. This information is made transparent to all stakeholders.
1.14,Product Owner,"For the Product Owner to succeed, the entire organization must respect his or her decisions.",Deciding when to release Increment
1.06,Product Owner,The Product Owner is the sole person responsible for managing the Product Backlog.,"The Product Owner is one person, not a committee"
1.05,Product Owner,The Product Owner is responsible for maximizing the value of the product and the work of the Development Team.,"Communicating product vision, strategy and roadmap"
2.03,Development Team,The Development Team consists of professionals who do the work of delivering a potentially releasable Increment of 'Done' product at the end of each Sprint.,"Accountability for delivering increment is belonging to the Development Team as a whole, not individual senior team members. Only members of the Development Team create the Increment."
2.04,Development Team,The Development Team consists of professionals who do the work of delivering a potentially releasable Increment of 'Done' product at the end of each Sprint.,"Development Team is having no sub-teams, regardless of particular domains that need to be addressed like testing or business analysis"
1.15,Product Owner,"For the Product Owner to succeed, the entire organization must respect his or her decisions.","The Product Owner may do the above work, or have the Development Team do it. However, the Product Owner remains accountable."
2.01,Development Team,The Development Team consists of professionals who do the work of delivering a potentially releasable Increment of 'Done' product at the end of each Sprint.,"Development Team is cross-functional, with all of the skills as a team necessary to create a product Increment"
2.05,Development Team,The Development Team consists of professionals who do the work of delivering a potentially releasable Increment of 'Done' product at the end of each Sprint.,"Delivering an Increment of product functionality every Sprint. This Increment is usmongable, so a Product Owner may choose to immediately release it."
2.06,Development Team,Development Teams are structured and empowered by the organization to organize and manage their own work,Development Team is self-organizing. No one (not even the Scrum Master) tells the Development Team how to turn Product Backlog into Increments of potentially releasable functionality
2.02,Development Team,The Development Team consists of professionals who do the work of delivering a potentially releasable Increment of 'Done' product at the end of each Sprint.,"There are no clear separation in titles. Everyone in the Development Team takes accountability to do the best they can, helping each other to achieve the best possible outcomes"
2.07,Development Team,Development Teams are structured and empowered by the organization to organize and manage their own work,Estimating size of a Product Backlog item and assessing what it can accomplish over the upcoming Sprint.
2.09,Development Team,Development Teams are structured and empowered by the organization to organize and manage their own work,Collaborating with Product Owner on the details of Product Backlog items
2.1,Development Team,Development Teams are structured and empowered by the organization to organize and manage their own work,Owning system design and engineering process
2.08,Development Team,Development Teams are structured and empowered by the organization to organize and manage their own work,Managing progress of the planned work for the Sprint.
3.01,Scrum Master,The Scrum Master is accountable for managing Scrum process,"The Scrum Master is responsible for promoting and supporting Scrum as defined in the Scrum Guide, helping everyone understand Scrum theory, practices, rules, and values."
3.02,Scrum Master,The Scrum Master is accountable for managing Scrum process,Ensuring the Product Owner knows how to arrange the Product Backlog to maximize value
3.05,Scrum Master,The Scrum Master is accountable for managing Scrum process,"The Scrum Master ensures that all Scrum events takes place, attendants understand its purpose, within the time-box"
3.04,Scrum Master,The Scrum Master is accountable for managing Scrum process,Planning Scrum implementations within the organization;
4.01,Sprint,No changes made to Sprint Backlog that could endanger the Sprint Goal,The Sprint Goal causes the Development Team to work together rather than on separate initiatives
4.02,Sprint,No changes made to Sprint Backlog that could endanger the Sprint Goal,Sprint Goal provides guidance to the Development Team on why it is building the Increment
3.03,Scrum Master,The Scrum Master is accountable for managing Scrum process,Facilitating Scrum events as requested or needed.
4.03,Sprint,No changes made to Sprint Backlog that could endanger the Sprint Goal,The Development Team is showing openness when PO makes changes to the scope (requirements) of the current Sprint aligned to the Sprint Goal
4.04,Sprint,No changes made to Sprint Backlog that could endanger the Sprint Goal,The PO is showing respect for the current Sprint Goal and doesn't disrupt Development Team focus with other tasks which are not aligned to the Sprint Goal
4.08,Sprint,"Sprint is time-boxed of one month or less during which a 'Done', usable, and potentially releasable product Increment is created",A new Sprint starts immediately after the conclusion of the previous Sprint
4.09,Sprint,"Sprint is time-boxed of one month or less during which a 'Done', usable, and potentially releasable product Increment is created","Sprints contain and consist of the Sprint Planning, Daily Scrums, the development work, the Sprint Review, and the Sprint Retrospective."
4.1,Sprint,"Sprint is time-boxed of one month or less during which a 'Done', usable, and potentially releasable product Increment is created","Each Sprint has a goal of what is to be built, a design and flexible plan that will guide building it, the work, and the resultant product increment.  Development Teams deliver an Increment of product functionality every Sprint. "
4.11,Sprint,Quality goals do not decrease,"The Scrum Team is understanding the quality goals and it is documented within definition of ""Done"""
4.07,Sprint,"Sprint is time-boxed of one month or less during which a 'Done', usable, and potentially releasable product Increment is created","Sprints are limited to one calendar month. Once a Sprint begins, its duration is fixed and cannot be shortened or lengthened"
4.12,Sprint,Quality goals do not decrease,"A Sprint is incremental - deliveries ""Done"" product ensuring a potentially useful version of working product is always available"
4.13,Sprint,Quality goals do not decrease,The Development Team is openly discussing problems with quality and together with Product Owner are trying to find a solution without postponing it to the next Sprint
4.14,Sprint,Quality goals do not decrease,There are tools which are capturing relevant code quality and product quality metrics transparent to the entire organization. 
4.16,Sprint,Scope may be clarified and re-negotiated between the Product Owner and Development Team as more is learned.,The Product Owner is committing to clarify questions as Development Team is detecting unexpected variances
4.15,Sprint,Quality goals do not decrease,"During each Sprint Retrospective, the Scrum Team plans ways to increase product quality by improving work processes or adapting the definition of ""Done"", if appropriate and not in conflict with product or organizational standards."
4.05,Sprint,No changes made to Sprint Backlog that could endanger the Sprint Goal,A Sprint would be cancelled if the Sprint Goal becomes obsolete. 
4.06,Sprint,"Sprint is time-boxed of one month or less during which a 'Done', usable, and potentially releasable product Increment is created",Sprints have consistent durations throughout a development effort
4.2,Sprint,Scope may be clarified and re-negotiated between the Product Owner and Development Team as more is learned.,The PO is not trying to change the requirements of the current Sprint witout letting know the entire DT first.
5.01,Sprint Planning,"Sprint Planning takes place, the attendants understand its purpose and key rules","Every member of the Scrum Team is participating in the Sprint Planning, including PO (mandatory) and SM (if needed). Entire Scrum Team is demonstrating commitment to collaboratively create a plan for the next Sprint. "
5.02,Sprint Planning,"Sprint Planning takes place, the attendants understand its purpose and key rules",Sprint Planning is time-boxed to a maximum of eight hours for a one-month Sprint and shorter for a two-week Sprint. Entire Scrum Team respect this time-box
5.03,Sprint Planning,"Sprint Planning takes place, the attendants understand its purpose and key rules",Every Sprint is starting from the Sprint Planning immediately after Sprint Retrospective without any delays
5.04,Sprint Planning,"Sprint Planning takes place, the attendants understand its purpose and key rules",Every team member is open to proactively participate in the Sprint Planning Session 
4.19,Sprint,Scope may be clarified and re-negotiated between the Product Owner and Development Team as more is learned.,"""When DT is demonstrating slower progress of the Sprint Backlog tasks, the PO is open to reduce the scope of SB and has a courage to tell stakeholders """"bad news"""""""
5.06,Sprint Planning,Sprint Planning answers the following: What can be delivered in the Increment resulting from the upcoming Sprint?,"The Product Owner agree with Development Team the objective that the Sprint should achieve and the Product Backlog items that, if completed in the Sprint, would achieve the Sprint Goal"
5.05,Sprint Planning,"Sprint Planning takes place, the attendants understand its purpose and key rules",The Development Team may also invite other people to attend to provide technical or domain advice.
4.17,Sprint,Scope may be clarified and re-negotiated between the Product Owner and Development Team as more is learned.,There are no delays in clarification process between DT and PO and SM usually helps DT to make the clarification process time effective
5.07,Sprint Planning,Sprint Planning answers the following: What can be delivered in the Increment resulting from the upcoming Sprint?,"In the Sprint Planning meeting the Development Team produce forecast for the Sprint. The input to this meeting is the Product Backlog, the latest product Increment, projected capacity of the Development Team during the Sprint, and past performance of the Development Team. "
5.08,Sprint Planning,Sprint Planning answers the following: What can be delivered in the Increment resulting from the upcoming Sprint?,Only Development Team decides the number of items selected from the Product Backlog for the Sprint
5.09,Sprint Planning,Sprint Planning answers the following: What can be delivered in the Increment resulting from the upcoming Sprint?,"The Development Team don't provide strong commitment on the scope, but provides a commitment to achieve the best they can given the agreed Sprint Goal (one sentense business objective)"
5.1,Sprint Planning,Sprint Planning answers the following: What can be delivered in the Increment resulting from the upcoming Sprint?,The Development Team respect priorities set by Product Owner and make plan accordingly
5.11,Sprint Planning,Sprint Planning answers the following: How will the work needed to deliver the Increment be achieved?,"Having set the Sprint Goal and selected the Product Backlog items for the Sprint, the Development Team decides how it will build this functionality into a ""Done"" product Increment during the Sprint."
4.18,Sprint,Scope may be clarified and re-negotiated between the Product Owner and Development Team as more is learned.,"When changing the the scope and re-negotiating, the PO is showing respect for the remaining DT remaining capacity for the rest of the Sprint"
5.12,Sprint Planning,Sprint Planning answers the following: How will the work needed to deliver the Increment be achieved?,Enough work is planned during Sprint Planning for the Development Team to forecast what it believes it can do in the upcoming Sprint.
5.13,Sprint Planning,Sprint Planning answers the following: How will the work needed to deliver the Increment be achieved?,The Development Team decompose planned work to units of one day or less
5.16,Sprint Planning,"By the end of the Sprint Planning, the Development Team should be able to explain to the Product Owner and Scrum Master how it intends to work as a self-organizing team to accomplish the Sprint Goal and create the anticipated Increment.","Team creates Sprint Backlog, which includes Product Backlog items selected for this Sprint plus the plan for delivering them"
5.14,Sprint Planning,Sprint Planning answers the following: How will the work needed to deliver the Increment be achieved?,"The Development Team self-organizes to undertake the work in the Sprint Backlog, both during Sprint Planning and as needed throughout the Sprint. "
5.17,Sprint Planning,"By the end of the Sprint Planning, the Development Team should be able to explain to the Product Owner and Scrum Master how it intends to work as a self-organizing team to accomplish the Sprint Goal and create the anticipated Increment.","If the Development Team determines it has too much or too little work, it may renegotiate the selected Product Backlog items with the Product Owner"
5.19,Sprint Planning,"By the end of the Sprint Planning, the Development Team should be able to explain to the Product Owner and Scrum Master how it intends to work as a self-organizing team to accomplish the Sprint Goal and create the anticipated Increment.","During Sprint Planning the Scrum Team also crafts a Sprint Goal. The Sprint Goal is an objective that will be met within the Sprint through the implementation of the Product Backlog, and it provides guidance to the Development Team on why it is building the Increment."
5.18,Sprint Planning,"By the end of the Sprint Planning, the Development Team should be able to explain to the Product Owner and Scrum Master how it intends to work as a self-organizing team to accomplish the Sprint Goal and create the anticipated Increment.",The Product Owner helps to clarify the selected Product Backlog items and make trade-offs. 
5.2,Sprint Planning,"By the end of the Sprint Planning, the Development Team should be able to explain to the Product Owner and Scrum Master how it intends to work as a self-organizing team to accomplish the Sprint Goal and create the anticipated Increment.",The Development Team starts to work in the Sprint immediately after Sprint Planning
6.02,Daily Scrum,The Daily Scrum is held at the same time and place each day to reduce complexity.,The Daily Scrum is used only for the Development Team to synchronize activities and create a plan for the next 24 hours.
6.03,Daily Scrum,The Daily Scrum is held at the same time and place each day to reduce complexity.,The Daily Scrum is held at the same time and place each day to reduce complexity.
6.01,Daily Scrum,The Daily Scrum is held at the same time and place each day to reduce complexity.,The Daily Scrum is always 15-minute time-boxed event. The Daily Scrum is held every day of the Sprint
6.04,Daily Scrum,The Daily Scrum is held at the same time and place each day to reduce complexity.,the Development Team is responsible for conducting the Daily Scrum. 
5.15,Sprint Planning,Sprint Planning answers the following: How will the work needed to deliver the Increment be achieved?,"""Not """"Ready"""" PBIs are not included into the Sprint scope until analysis is Done"""
6.05,Daily Scrum,The Daily Scrum is held at the same time and place each day to reduce complexity.,"The Daily Scrum is an internal meeting for the Development Team. If others are present, the Scrum Master ensures that they do not disrupt the meeting."
6.06,Daily Scrum,The Daily Scrum is used by Development Team to optimize the probability that it will meet the Sprint Goal.,Daily Scrum focuses on inspect how progress is trending toward completing the work in the Sprint Backlog and increase probability to meet Sprint Goal
6.07,Daily Scrum,The Daily Scrum is used by Development Team to optimize the probability that it will meet the Sprint Goal.,During the Daily Scrum the Development Team inspect how progress is trending toward completing the work in the Sprint Backlog.
6.08,Daily Scrum,The Daily Scrum is used by Development Team to optimize the probability that it will meet the Sprint Goal.,"For detailed discussions, or to adapt, or re-plan, the rest of the Sprint's work the Development Team or team members meet immediately after Scrum"
7.01,Sprint Review,The event takes place and attendants understand its purpose,This is a four-hour time-boxed meeting for one-month Sprints.
6.1,Daily Scrum,The Daily Scrum is used by Development Team to optimize the probability that it will meet the Sprint Goal.,The Development Team understand how it intends to work together as a self-organizing team to accomplish the Sprint Goal
6.09,Daily Scrum,The Daily Scrum is used by Development Team to optimize the probability that it will meet the Sprint Goal.,"Daily Scrums identify impediments to development for removal, and promote quick decision-making "
7.03,Sprint Review,The event takes place and attendants understand its purpose,Attendees include the Scrum Team and key stakeholders invited by the Product Owner
7.02,Sprint Review,The event takes place and attendants understand its purpose,A Sprint Review is held at the end of the Sprint to inspect the Increment and adapt the Product Backlog if needed
7.04,Sprint Review,The event takes place and attendants understand its purpose,"This is an informal meeting, not a status meeting"
7.08,Sprint Review,"During the Sprint Review, the Scrum Team and stakeholders collaborate about what was done in the Sprint",The Development Team demonstrates the work that it has 'Done' and answers questions about the Increment
7.05,Sprint Review,The event takes place and attendants understand its purpose,The Development Team prepares presentation of the Increment so that it helps to elicit feedback from stakeholders and foster collaboration.
7.06,Sprint Review,"During the Sprint Review, the Scrum Team and stakeholders collaborate about what was done in the Sprint",The Product Owner explains what Product Backlog items have been 'Done' and what has not been 'Done'
7.07,Sprint Review,"During the Sprint Review, the Scrum Team and stakeholders collaborate about what was done in the Sprint","The Development Team discusses what went well during the Sprint, what problems it ran into, and how those problems were solved"
7.09,Sprint Review,"During the Sprint Review, the Scrum Team and stakeholders collaborate about what was done in the Sprint",The Product Owner discusses the Product Backlog as it stands. He or she projects likely completion dates based on progress to date (if needed)
7.1,Sprint Review,"During the Sprint Review, the Scrum Team and stakeholders collaborate about what was done in the Sprint",The result of the Sprint Review is a revised Product Backlog that defines the probable Product Backlog items for the next Sprint. The Product Backlog may also be adjusted overall to meet new opportunities.
7.11,Sprint Review,"The entire group collaborates on what to do next, so that the Sprint Review provides valuable input to subsequent Sprint Planning","The entire group (Stakeholders and Scrum Team) collaborates on what to do next, so that the Sprint Review provides valuable input to subsequent Sprint Planning"
7.12,Sprint Review,"The entire group collaborates on what to do next, so that the Sprint Review provides valuable input to subsequent Sprint Planning","Review of how the marketplace or potential use of the product might have changed what is the most valuable thing to do next and,"
7.13,Sprint Review,"The entire group collaborates on what to do next, so that the Sprint Review provides valuable input to subsequent Sprint Planning","Review of the timeline, budget, potential capabilities, and marketplace for the next anticipated release of the product."
7.14,Sprint Review,"The entire group collaborates on what to do next, so that the Sprint Review provides valuable input to subsequent Sprint Planning",Review how Team Impediments can be solved
7.15,Sprint Review,"The entire group collaborates on what to do next, so that the Sprint Review provides valuable input to subsequent Sprint Planning",Review team metrics and improvement progress
8.01,Sprint Retrospective,Event takes place and attendants understand its purpose,"This is a three-hour time-boxed meeting for one-month Sprints. For shorter Sprints, the event is usually shorter."
8.02,Sprint Retrospective,Event takes place and attendants understand its purpose,The Sprint Retrospective occurs after the Sprint Review and prior to the next Sprint Planning
8.03,Sprint Retrospective,Event takes place and attendants understand its purpose,Scrum Team to inspect itself and create a plan for improvements to be enacted during the next Sprint
8.04,Sprint Retrospective,Event takes place and attendants understand its purpose,"Every member of the Development Team shows-up on the Sprint Planning, including PO (if needed) and Scrum Master participates as a peer team member in the meeting from the accountability over the Scrum process.  "
8.05,Sprint Retrospective,Event takes place and attendants understand its purpose,"Scrum Team inspect how the last Sprint went with regards to people, relationships, process, and tools"
8.06,Sprint Retrospective,"By the end of the Sprint Retrospective, the Scrum Team should have identified improvements that it will implement in the next Sprint. ",Scrum Team identify and order the major items that went well and potential improvements
8.07,Sprint Retrospective,"By the end of the Sprint Retrospective, the Scrum Team should have identified improvements that it will implement in the next Sprint. ",Scrum Team creates a plan for implementing improvements to the way the Scrum Team does its work.
8.08,Sprint Retrospective,"By the end of the Sprint Retrospective, the Scrum Team should have identified improvements that it will implement in the next Sprint. ","The Scrum Master encourages the Scrum Team to improve, within the Scrum process framework, its development process and practices to make it more effective and enjoyable for the next Sprint."
8.09,Sprint Retrospective,"By the end of the Sprint Retrospective, the Scrum Team should have identified improvements that it will implement in the next Sprint. ","During each Sprint Retrospective, the Scrum Team plans ways to increase product quality by adapting the definition of 'Done' as appropriate."
8.1,Sprint Retrospective,"By the end of the Sprint Retrospective, the Scrum Team should have identified improvements that it will implement in the next Sprint. ",All Scrum Team members demonstrate responsibility to plan and implement improvements
9.03,Product Backlog,The Product Backlog is an ordered list of everything that might be needed in the product and is the single source of requirements for any changes to be made to the product. ,"A Product Backlog is never complete. The Product Backlog is dynamic; it constantly changes to identify what the product needs to be appropriate, competitive, and useful. If a product exists, its Product Backlog also exists."
9.02,Product Backlog,The Product Backlog is an ordered list of everything that might be needed in the product and is the single source of requirements for any changes to be made to the product. ,"All features, functions, requirements, enhancements, and fixes that constitute the changes to be made to the product in future releases are listed in the single Product Backlog"
9.05,Product Backlog,The Product Backlog is an ordered list of everything that might be needed in the product and is the single source of requirements for any changes to be made to the product. ,Multiple Scrum Teams often work together on the same product. A Product Backlog attribute that groups items may then be employed.
9.04,Product Backlog,The Product Backlog is an ordered list of everything that might be needed in the product and is the single source of requirements for any changes to be made to the product. ,Only one Product Backlog is used to describe the upcoming work on the product. 
9.06,Product Backlog,"Product Backlog items have the attributes of a description, order, estimate and value.",Product Backlog items at the top of the list are testable and contain acceptance criteria for the next Sprint. 
9.01,Product Backlog,The Product Backlog is an ordered list of everything that might be needed in the product and is the single source of requirements for any changes to be made to the product. ,The Product Backlog is an ordered list of everything that is known to be needed in the product.
9.07,Product Backlog,"Product Backlog items have the attributes of a description, order, estimate and value.",Product Backlog items are estimated. It can be used to forecast completion dates of the strategic part
9.08,Product Backlog,"Product Backlog items have the attributes of a description, order, estimate and value.","Product Backlog is transparent to all stakeholders. Every item described the way that business understand its value, and this value was shared with the team so everyone clearly understands business purpose and priority of the story"
9.09,Product Backlog,"Product Backlog items have the attributes of a description, order, estimate and value.",Items at the top of the list are sized right. Any one item can reasonably be 'Done' within the Sprint time-box. 
9.1,Product Backlog,"Product Backlog items have the attributes of a description, order, estimate and value.",Development Team understands impact of PBI not being delivered on time (e.g. lost business opportunities or deadline for some regulatory changes)
9.11,Product Backlog,"Product Backlog refinement is the act of adding detail, estimates, and order to items in the Product Backlog.","Scrum Team has organized PBR process to collaborate on the details, estimates and order of Product Backlog items "
9.12,Product Backlog,"Product Backlog refinement is the act of adding detail, estimates, and order to items in the Product Backlog.",Refinement usually consumes no more than 10% of the capacity of the Development Team.
9.13,Product Backlog,"Product Backlog refinement is the act of adding detail, estimates, and order to items in the Product Backlog.",PBR meetings are well facilitated and time-boxed with clear agenda
9.14,Product Backlog,"Product Backlog refinement is the act of adding detail, estimates, and order to items in the Product Backlog.",The Development Team is responsible for all estimates in the Product Backlog and during PBR meetings team is updating estimates
9.15,Product Backlog,"Product Backlog refinement is the act of adding detail, estimates, and order to items in the Product Backlog.","Product Backlog items that can be ""Done"" by the Development Team within one Sprint are deemed ""Ready"" for selection in a Sprint Planning. Product Backlog items usually acquire this degree of transparency through the above described refining activities."
9.16,Product Backlog,Product Backlog is a living artifact.,"As a product is used and gains value, and the marketplace provides feedback, the Product Backlog becomes a larger and more exhaustive list. "
9.17,Product Backlog,Product Backlog is a living artifact.,"Changes in business requirements, market conditions, or technology are reflected in the Product Backlog."
9.18,Product Backlog,Product Backlog is a living artifact.,"Higher ordered Product Backlog items are usually clearer and more detailed than lower ordered ones. More precise estimates are made based on the greater clarity and increased detail; the lower the order, the less detail. "
9.19,Product Backlog,Product Backlog is a living artifact.,"Product Backlog is used to forecast progress, using different projecting techniques like burn-downs, burn-ups, or cumulative flows."
9.2,Product Backlog,Product Backlog is a living artifact.,Product Backlog is used for aligning stakeholders on priorities
10.01,Sprint Backlog,"The Sprint Backlog is the set of Product Backlog items selected for the Sprint, plus a plan for delivering the product Increment and realizing the Sprint Goal.",The Development Team owns the Sprint Backlog and can change it during a Sprint
10.02,Sprint Backlog,"The Sprint Backlog is the set of Product Backlog items selected for the Sprint, plus a plan for delivering the product Increment and realizing the Sprint Goal.",The Sprint Backlog is a plan with enough detail that can be understood in the Daily Scrum
10.03,Sprint Backlog,"The Sprint Backlog is the set of Product Backlog items selected for the Sprint, plus a plan for delivering the product Increment and realizing the Sprint Goal.",Sprint Backlog containing all the tasks to turn at least one PBI into usable and releasable Increment according to DoD
10.04,Sprint Backlog,"The Sprint Backlog is the set of Product Backlog items selected for the Sprint, plus a plan for delivering the product Increment and realizing the Sprint Goal.",Sprint Backlog includes at least one high priority process improvement identified in the previous Retrospective meeting.
10.05,Sprint Backlog,"The Sprint Backlog is the set of Product Backlog items selected for the Sprint, plus a plan for delivering the product Increment and realizing the Sprint Goal.",The Sprint Backlog makes visible all the work that the Development Team identifies as necessary to meet the Sprint Goal. 
10.06,Sprint Backlog,"The Development Team modifies the Sprint Backlog throughout the Sprint, and the Sprint Backlog emerges during the Sprint.","The Development Team modifies the Sprint Backlog throughout the Sprint, and the Sprint Backlog emerges during the Sprint. "
10.07,Sprint Backlog,"The Development Team modifies the Sprint Backlog throughout the Sprint, and the Sprint Backlog emerges during the Sprint.","As new work is required, the Development Team adds it to the Sprint Backlog."
10.08,Sprint Backlog,"The Development Team modifies the Sprint Backlog throughout the Sprint, and the Sprint Backlog emerges during the Sprint.","As work is performed or completed, the estimated remaining work is updated. "
10.1,Sprint Backlog,"The Development Team modifies the Sprint Backlog throughout the Sprint, and the Sprint Backlog emerges during the Sprint.","The Sprint Backlog is a highly visible, real-time picture of the work that the Development Team plans to accomplish during the Sprint, and it belongs solely to the Development Team."
10.09,Sprint Backlog,"The Development Team modifies the Sprint Backlog throughout the Sprint, and the Sprint Backlog emerges during the Sprint.","When elements of the plan are deemed unnecessary, they are removed."
11.01,Increment,"At the end of a Sprint, the new Increment must be 'Done,' which means it must be in usable condition and meet the Scrum Team's definition of 'Done.'","When a Product Backlog item or an Increment is described as ""Done"", everyone must understand what ""Done"" means. "
11.02,Increment,"At the end of a Sprint, the new Increment must be 'Done,' which means it must be in usable condition and meet the Scrum Team's definition of 'Done.'","The definition of ""Done"" has a checklist used to assess when work is complete on the product Increment."
11.03,Increment,"At the end of a Sprint, the new Increment must be 'Done,' which means it must be in usable condition and meet the Scrum Team's definition of 'Done.'","If the definition of ""Done"" for an increment is part of the conventions, standards or guidelines of the development organization, all Scrum Teams must follow it as a minimum."
11.04,Increment,"At the end of a Sprint, the new Increment must be 'Done,' which means it must be in usable condition and meet the Scrum Team's definition of 'Done.'","Upon minimal conventions, standards or guidelines of the development organization, the Scrum Team expand a definition of ""Done"" appropriate for the product. "
11.05,Increment,"At the end of a Sprint, the new Increment must be 'Done,' which means it must be in usable condition and meet the Scrum Team's definition of 'Done.'",The definition of 'done' is used to assess when work is complete on the product Increment.
11.06,Increment,Development Teams deliver an Increment of product functionality every Sprint.,"Increment is usable, so a Product Owner may choose to immediately release it"
11.07,Increment,Development Teams deliver an Increment of product functionality every Sprint.,"Each Increment is additive to all prior Increments and thoroughly tested, ensuring that all Increments work together."
11.08,Increment,Development Teams deliver an Increment of product functionality every Sprint.,"An increment is a body of inspectable, done work that supports empiricism at the end of the Sprint. The increment is a step toward a vision or goal. "
11.09,Increment,Development Teams deliver an Increment of product functionality every Sprint.,Multiple teams works in the same Sprint and achieve integrated Increment
11.1,Increment,Development Teams deliver an Increment of product functionality every Sprint.,Business Stakeholders are able to assess Product Increment value by the end of the Sprint and provide feedback on the Product 
3.06,Scrum Master,The Scrum Master is removing impediments to the Development Team's progress,The Scrum Master is a servant-leader - helping everyone change interactions to maximize the value created by the Scrum Team
3.07,Scrum Master,The Scrum Master is removing impediments to the Development Team's progress,Helping the Development Team to create high-value products;
3.08,Scrum Master,The Scrum Master is removing impediments to the Development Team's progress,Coaching the Development Team in self-organization and cross-functionality;
3.09,Scrum Master,The Scrum Master is removing impediments to the Development Team's progress,Causing change that increases the productivity of the Scrum Team
3.1,Scrum Master,The Scrum Master is removing impediments to the Development Team's progress,Working with other Scrum Masters to increase the effectiveness of the application of Scrum in the organization.
3.11,Scrum Master,A Scrum Master must help everyone apply the most appropriate practices in the absence of complete transparency,"Can detect incomplete transparency by inspecting the artifacts, sensing patterns, listening closely to what is being said, and detecting differences between expected and real results."
3.12,Scrum Master,A Scrum Master must help everyone apply the most appropriate practices in the absence of complete transparency,"Ensuring that goals, scope, and product domain are understood by everyone on the Scrum Team as well as possible"
3.14,Scrum Master,A Scrum Master must help everyone apply the most appropriate practices in the absence of complete transparency,Understanding product planning in an empirical environment;
3.13,Scrum Master,A Scrum Master must help everyone apply the most appropriate practices in the absence of complete transparency,Finding techniques for effective Product Backlog management
3.15,Scrum Master,A Scrum Master must help everyone apply the most appropriate practices in the absence of complete transparency,Helping employees and stakeholders understand and enact Scrum and empirical product development
